"Accreditation Rates"
4/3/2023

Year,Division,School,Indicator,Subgroup,"Level Code","Percent Passing","Percent Passing With Recovery","Percent Showing Growth","Percent Showing EL Progress or Proficiency","Accreditation Combined Rate","No Proficiency or Growth"
2022,"Accomack County Public Schools","Accawmacke Elementary","Academic Achievement - English","All Students",SCH,64,9,16,4,92,8
2022,"Accomack County Public Schools","Accawmacke Elementary","Academic Achievement - Math","All Students",SCH,58,15,18,,91,9
2022,"Accomack County Public Schools","Accawmacke Elementary","Academic Achievement - Science","All Students",SCH,79,,,,,
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English",Black,SCH,57,11,17,3,88,12
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,59,8,21,5,93,7
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English","English Learners",SCH,57,10,22,10,100,0
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English",Hispanic,SCH,52,11,24,9,96,4
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English","Students with Disabilities",SCH,55,15,10,10,90,10
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - English",White,SCH,76,6,10,0,93,7
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math",Black,SCH,50,22,17,,89,11
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,52,17,20,,89,11
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math","English Learners",SCH,64,18,18,,100,0
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math",Hispanic,SCH,62,16,21,,98,2
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math","Students with Disabilities",SCH,48,29,10,,86,14
2022,"Accomack County Public Schools","Accawmacke Elementary","Achievement Gap - Math",White,SCH,62,7,18,,87,13
2022,"Accomack County Public Schools","Arcadia High","Academic Achievement - English","All Students",SCH,73,0,0,2,76,24
2022,"Accomack County Public Schools","Arcadia High","Academic Achievement - Math","All Students",SCH,76,0,0,,76,24
2022,"Accomack County Public Schools","Arcadia High","Academic Achievement - Science","All Students",SCH,63,,,,,
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English",Black,SCH,71,0,0,1,72,28
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English","Economically Disadvantaged",SCH,72,0,0,1,73,27
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English","English Learners",SCH,45,0,0,24,70,30
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English",Hispanic,SCH,73,0,0,8,81,19
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English","Multiple Races",SCH,73,0,0,0,73,27
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English","Students with Disabilities",SCH,45,0,0,2,47,53
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - English",White,SCH,77,0,0,0,77,23
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math",Black,SCH,68,0,0,,68,32
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math","Economically Disadvantaged",SCH,73,0,0,,73,27
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math","English Learners",SCH,74,0,0,,74,26
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math",Hispanic,SCH,84,0,0,,84,16
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math","Students with Disabilities",SCH,50,0,0,,50,50
2022,"Accomack County Public Schools","Arcadia High","Achievement Gap - Math",White,SCH,81,0,0,,81,19
2022,"Accomack County Public Schools","Arcadia Middle ","Academic Achievement - English","All Students",SCH,57,8,12,0,77,23
2022,"Accomack County Public Schools","Arcadia Middle ","Academic Achievement - Math","All Students",SCH,46,17,22,,86,14
2022,"Accomack County Public Schools","Arcadia Middle ","Academic Achievement - Science","All Students",SCH,58,,,,,
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English",Black,SCH,46,9,15,0,71,29
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English","Economically Disadvantaged",SCH,53,9,15,0,77,23
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English","English Learners",SCH,55,12,20,1,88,12
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English",Hispanic,SCH,54,9,15,1,80,20
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English","Multiple Races",SCH,63,10,10,0,83,17
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English","Students with Disabilities",SCH,23,4,23,1,51,49
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - English",White,SCH,72,5,5,0,82,18
