"Advanced Program Information"
4/3/2023

Year,Level,Division,"Enrollment Type",Count,Percent
"2021 - 2022",DIV,"Accomack County Public Schools","Advanced Placement Test Taken Preliminary Results",45,3
"2021 - 2022",DIV,"Accomack County Public Schools","Advanced Placement course enrollment",46,3.07
"2021 - 2022",DIV,"Accomack County Public Schools","Dual Enrollment enrollment",179,11.93
"2021 - 2022",DIV,"Albemarle County Public Schools","Advanced Placement Test Taken Preliminary Results",1084,24.75
"2021 - 2022",DIV,"Albemarle County Public Schools","Advanced Placement course enrollment",1547,35.33
"2021 - 2022",DIV,"Albemarle County Public Schools","Dual Enrollment enrollment",953,21.76
"2021 - 2022",DIV,"Alexandria City Public Schools","Advanced Placement Test Taken Preliminary Results",918,20.85
"2021 - 2022",DIV,"Alexandria City Public Schools","Advanced Placement course enrollment",918,20.85
"2021 - 2022",DIV,"Alexandria City Public Schools","Dual Enrollment enrollment",743,16.88
"2021 - 2022",DIV,"Alleghany Highlands Public Schools","Advanced Placement course enrollment",1,.17
"2021 - 2022",DIV,"Alleghany Highlands Public Schools","Dual Enrollment enrollment",23,3.95
"2021 - 2022",DIV,"Alleghany Highlands Public Schools","Governors School enrollment",14,2.41
"2021 - 2022",DIV,"Amelia County Public Schools","Advanced Placement Test Taken Preliminary Results",89,18.05
"2021 - 2022",DIV,"Amelia County Public Schools","Advanced Placement course enrollment",95,19.27
"2021 - 2022",DIV,"Amelia County Public Schools","Dual Enrollment enrollment",72,14.6
"2021 - 2022",DIV,"Amelia County Public Schools","Governors School enrollment",24,4.87
"2021 - 2022",DIV,"Amherst County Public Schools","Advanced Placement Test Taken Preliminary Results",115,9.45
"2021 - 2022",DIV,"Amherst County Public Schools","Advanced Placement course enrollment",155,12.74
"2021 - 2022",DIV,"Amherst County Public Schools","Dual Enrollment enrollment",137,11.26
"2021 - 2022",DIV,"Amherst County Public Schools","Governors School enrollment",16,1.31
"2021 - 2022",DIV,"Appomattox County Public Schools","Advanced Placement Test Taken Preliminary Results",29,4.17
"2021 - 2022",DIV,"Appomattox County Public Schools","Advanced Placement course enrollment",49,7.04
"2021 - 2022",DIV,"Appomattox County Public Schools","Dual Enrollment enrollment",59,8.48
"2021 - 2022",DIV,"Appomattox County Public Schools","Governors School enrollment",8,1.15
"2021 - 2022",DIV,"Arlington County Public Schools","Advanced Placement Test Taken Preliminary Results",2788,34.74
"2021 - 2022",DIV,"Arlington County Public Schools","Advanced Placement course enrollment",2788,34.74
"2021 - 2022",DIV,"Arlington County Public Schools","Dual Enrollment enrollment",761,9.48
"2021 - 2022",DIV,"Arlington County Public Schools","IB Course enrollment",701,8.74
"2021 - 2022",DIV,"Arlington County Public Schools","IB Exam Taken",391,4.87
"2021 - 2022",DIV,"Arlington County Public Schools","Seniors enrolled in IB Program",102,1.27
"2021 - 2022",DIV,"Augusta County Public Schools","Advanced Placement Test Taken Preliminary Results",219,6.87
"2021 - 2022",DIV,"Augusta County Public Schools","Advanced Placement course enrollment",231,7.25
"2021 - 2022",DIV,"Augusta County Public Schools","Dual Enrollment enrollment",236,7.41
"2021 - 2022",DIV,"Augusta County Public Schools","Governors School enrollment",143,4.49
"2021 - 2022",DIV,"Bath County Public Schools","Dual Enrollment enrollment",76,52.41
"2021 - 2022",DIV,"Bedford County Public Schools","Advanced Placement Test Taken Preliminary Results",233,7.99
"2021 - 2022",DIV,"Bedford County Public Schools","Advanced Placement course enrollment",309,10.6
"2021 - 2022",DIV,"Bedford County Public Schools","Dual Enrollment enrollment",447,15.33
"2021 - 2022",DIV,"Bedford County Public Schools","Governors School enrollment",47,1.61
"2021 - 2022",DIV,"Bland County Public Schools","Dual Enrollment enrollment",38,14.39
"2021 - 2022",DIV,"Botetourt County Public Schools","Advanced Placement Test Taken Preliminary Results",3,.2
"2021 - 2022",DIV,"Botetourt County Public Schools","Advanced Placement course enrollment",4,.27
"2021 - 2022",DIV,"Botetourt County Public Schools","Dual Enrollment enrollment",406,27.34
"2021 - 2022",DIV,"Botetourt County Public Schools","Governors School enrollment",32,2.15
"2021 - 2022",DIV,"Bristol City Public Schools","Advanced Placement Test Taken Preliminary Results",6,.94
"2021 - 2022",DIV,"Bristol City Public Schools","Advanced Placement course enrollment",6,.94
"2021 - 2022",DIV,"Bristol City Public Schools","Dual Enrollment enrollment",95,14.87
"2021 - 2022",DIV,"Brunswick County Public Schools","Dual Enrollment enrollment",46,10.48
"2021 - 2022",DIV,"Buchanan County Public Schools","Dual Enrollment enrollment",272,36.32
"2021 - 2022",DIV,"Buckingham County Public Schools","Dual Enrollment enrollment",98,16.44
"2021 - 2022",DIV,"Buckingham County Public Schools","Governors School enrollment",19,3.19
"2021 - 2022",DIV,"Buena Vista City Public Schools","Advanced Placement Test Taken Preliminary Results",17,6.12
"2021 - 2022",DIV,"Buena Vista City Public Schools","Advanced Placement course enrollment",17,6.12
"2021 - 2022",DIV,"Buena Vista City Public Schools","Dual Enrollment enrollment",67,24.1
"2021 - 2022",DIV,"Campbell County Public Schools","Advanced Placement Test Taken Preliminary Results",139,5.65
"2021 - 2022",DIV,"Campbell County Public Schools","Advanced Placement course enrollment",139,5.65
"2021 - 2022",DIV,"Campbell County Public Schools","Dual Enrollment enrollment",193,7.85
"2021 - 2022",DIV,"Caroline County Public Schools","Advanced Placement Test Taken Preliminary Results",108,8.87
"2021 - 2022",DIV,"Caroline County Public Schools","Advanced Placement course enrollment",173,14.2
"2021 - 2022",DIV,"Caroline County Public Schools","Dual Enrollment enrollment",119,9.77
"2021 - 2022",DIV,"Caroline County Public Schools","Governors School enrollment",43,3.53
"2021 - 2022",DIV,"Carroll County Public Schools","Advanced Placement Test Taken Preliminary Results",11,1.05
