"Career & Technical Education"
4/3/2023

Year,Level,Division,Description,"Year Count"
"2021 - 2022",DIV,"Accomack County Public Schools","CTE Completers",244
"2021 - 2022",DIV,"Albemarle County Public Schools","CTE Completers",437
"2021 - 2022",DIV,"Albemarle County Public Schools","Industry Certification",1682
"2021 - 2022",DIV,"Albemarle County Public Schools","State Licensures",35
"2021 - 2022",DIV,"Albemarle County Public Schools","Students Earning One or More Credentials",1860
"2021 - 2022",DIV,"Albemarle County Public Schools","Total Credentials Earned",2473
"2021 - 2022",DIV,"Albemarle County Public Schools","Workplace Readiness",756
"2021 - 2022",DIV,"Alexandria City Public Schools","Armed Services Vocational Aptitude Battery Examination",33
"2021 - 2022",DIV,"Alexandria City Public Schools","CTE Completers",508
"2021 - 2022",DIV,"Alexandria City Public Schools","Industry Certification",598
"2021 - 2022",DIV,"Alexandria City Public Schools","State Licensures",8
"2021 - 2022",DIV,"Alexandria City Public Schools","Students Earning One or More Credentials",660
"2021 - 2022",DIV,"Alexandria City Public Schools","Total Credentials Earned",763
"2021 - 2022",DIV,"Alexandria City Public Schools","Workplace Readiness",157
"2021 - 2022",DIV,"Alleghany Highlands Public Schools","CTE Completers",87
"2021 - 2022",DIV,"Amelia County Public Schools","CTE Completers",86
"2021 - 2022",DIV,"Amelia County Public Schools","Industry Certification",74
"2021 - 2022",DIV,"Amelia County Public Schools","State Licensures",1
"2021 - 2022",DIV,"Amelia County Public Schools","Students Earning One or More Credentials",119
"2021 - 2022",DIV,"Amelia County Public Schools","Total Credentials Earned",138
"2021 - 2022",DIV,"Amelia County Public Schools","Workplace Readiness",63
"2021 - 2022",DIV,"Amherst County Public Schools","CTE Completers",125
"2021 - 2022",DIV,"Amherst County Public Schools","Industry Certification",464
"2021 - 2022",DIV,"Amherst County Public Schools","State Licensures",19
"2021 - 2022",DIV,"Amherst County Public Schools","Students Earning One or More Credentials",446
"2021 - 2022",DIV,"Amherst County Public Schools","Total Credentials Earned",483
"2021 - 2022",DIV,"Appomattox County Public Schools","CTE Completers",109
"2021 - 2022",DIV,"Appomattox County Public Schools","Industry Certification",183
"2021 - 2022",DIV,"Appomattox County Public Schools","State Licensures",7
"2021 - 2022",DIV,"Appomattox County Public Schools","Students Earning One or More Credentials",183
"2021 - 2022",DIV,"Appomattox County Public Schools","Total Credentials Earned",190
"2021 - 2022",DIV,"Arlington County Public Schools","CTE Completers",506
"2021 - 2022",DIV,"Arlington County Public Schools","Industry Certification",2054
"2021 - 2022",DIV,"Arlington County Public Schools","NOCTI Assessments",10
"2021 - 2022",DIV,"Arlington County Public Schools","Students Earning One or More Credentials",2364
"2021 - 2022",DIV,"Arlington County Public Schools","Total Credentials Earned",3188
"2021 - 2022",DIV,"Arlington County Public Schools","Workplace Readiness",1124
"2021 - 2022",DIV,"Augusta County Public Schools","CTE Completers",493
"2021 - 2022",DIV,"Augusta County Public Schools","Industry Certification",1130
"2021 - 2022",DIV,"Augusta County Public Schools","NOCTI Assessments",92
"2021 - 2022",DIV,"Augusta County Public Schools","Students Earning One or More Credentials",1149
"2021 - 2022",DIV,"Augusta County Public Schools","Total Credentials Earned",1544
"2021 - 2022",DIV,"Augusta County Public Schools","Workplace Readiness",322
"2021 - 2022",DIV,"Bath County Public Schools","CTE Completers",27
"2021 - 2022",DIV,"Bath County Public Schools","Industry Certification",4
"2021 - 2022",DIV,"Bath County Public Schools","NOCTI Assessments",7
"2021 - 2022",DIV,"Bath County Public Schools","Students Earning One or More Credentials",31
"2021 - 2022",DIV,"Bath County Public Schools","Total Credentials Earned",35
"2021 - 2022",DIV,"Bath County Public Schools","Workplace Readiness",24
"2021 - 2022",DIV,"Bedford County Public Schools","Armed Services Vocational Aptitude Battery Examination",10
"2021 - 2022",DIV,"Bedford County Public Schools","CTE Completers",330
"2021 - 2022",DIV,"Bedford County Public Schools","Industry Certification",771
"2021 - 2022",DIV,"Bedford County Public Schools","NOCTI Assessments",18
"2021 - 2022",DIV,"Bedford County Public Schools","State Licensures",17
"2021 - 2022",DIV,"Bedford County Public Schools","Students Earning One or More Credentials",947
"2021 - 2022",DIV,"Bedford County Public Schools","Total Credentials Earned",1136
"2021 - 2022",DIV,"Bedford County Public Schools","Workplace Readiness",330
"2021 - 2022",DIV,"Bland County Public Schools","CTE Completers",30
"2021 - 2022",DIV,"Bland County Public Schools","Industry Certification",63
"2021 - 2022",DIV,"Bland County Public Schools","NOCTI Assessments",2
"2021 - 2022",DIV,"Bland County Public Schools","State Licensures",2
"2021 - 2022",DIV,"Bland County Public Schools","Students Earning One or More Credentials",61
"2021 - 2022",DIV,"Bland County Public Schools","Total Credentials Earned",76
"2021 - 2022",DIV,"Bland County Public Schools","Workplace Readiness",9
"2021 - 2022",DIV,"Botetourt County Public Schools","CTE Completers",224
"2021 - 2022",DIV,"Botetourt County Public Schools","Students Earning One or More Credentials",89
"2021 - 2022",DIV,"Botetourt County Public Schools","Total Credentials Earned",89
"2021 - 2022",DIV,"Botetourt County Public Schools","Workplace Readiness",89
"2021 - 2022",DIV,"Bristol City Public Schools","CTE Completers",36
"2021 - 2022",DIV,"Bristol City Public Schools","Industry Certification",119
"2021 - 2022",DIV,"Bristol City Public Schools","State Licensures",4
"2021 - 2022",DIV,"Bristol City Public Schools","Students Earning One or More Credentials",114
"2021 - 2022",DIV,"Bristol City Public Schools","Total Credentials Earned",152
"2021 - 2022",DIV,"Bristol City Public Schools","Workplace Readiness",29
"2021 - 2022",DIV,"Brunswick County Public Schools","CTE Completers",78
"2021 - 2022",DIV,"Brunswick County Public Schools","Industry Certification",65
"2021 - 2022",DIV,"Brunswick County Public Schools","State Licensures",7
"2021 - 2022",DIV,"Brunswick County Public Schools","Students Earning One or More Credentials",71
"2021 - 2022",DIV,"Brunswick County Public Schools","Total Credentials Earned",72
"2021 - 2022",DIV,"Buchanan County Public Schools","CTE Completers",134
"2021 - 2022",DIV,"Buchanan County Public Schools","Students Earning One or More Credentials",154
"2021 - 2022",DIV,"Buchanan County Public Schools","Total Credentials Earned",154
"2021 - 2022",DIV,"Buchanan County Public Schools","Workplace Readiness",154
"2021 - 2022",DIV,"Buckingham County Public Schools","CTE Completers",104
"2021 - 2022",DIV,"Buckingham County Public Schools","Industry Certification",177
"2021 - 2022",DIV,"Buckingham County Public Schools","NOCTI Assessments",7
"2021 - 2022",DIV,"Buckingham County Public Schools","State Licensures",2
"2021 - 2022",DIV,"Buckingham County Public Schools","Students Earning One or More Credentials",156
"2021 - 2022",DIV,"Buckingham County Public Schools","Total Credentials Earned",208
"2021 - 2022",DIV,"Buckingham County Public Schools","Workplace Readiness",22
"2021 - 2022",DIV,"Buena Vista City Public Schools","CTE Completers",38
"2021 - 2022",DIV,"Buena Vista City Public Schools","Students Earning One or More Credentials",37
"2021 - 2022",DIV,"Buena Vista City Public Schools","Total Credentials Earned",37
"2021 - 2022",DIV,"Buena Vista City Public Schools","Workplace Readiness",37
