"Diplomas and Completion"
4/3/2023

Year,Level,Division,Subgroup,Cohort,"Dropout Count","Dropout Rate","Advanced Diplomas","Standard Count","Other Diplomas Count","GED ISAEP","Standard and Other Diplomas Count","GED Other Non-Graduation Count","Other Non-Graduation Count"
2021,DIV,"Accomack County Public Schools","All Students",371,32,8.6,147,162,4,1,25,26,166
2021,DIV,"Accomack County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Accomack County Public Schools",Black,140,8,5.7,33,84,2,0,13,13,86
2021,DIV,"Accomack County Public Schools","Economically Disadvantaged",189,9,4.8,67,94,2,1,16,17,96
2021,DIV,"Accomack County Public Schools","English Learners",47,12,25.5,7,21,0,0,7,7,21
2021,DIV,"Accomack County Public Schools",Female,155,9,5.8,66,70,0,1,9,10,70
2021,DIV,"Accomack County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Accomack County Public Schools",Hispanic,78,15,19.2,33,22,0,0,8,8,22
2021,DIV,"Accomack County Public Schools",Homeless,12,2,16.7,2,5,0,0,3,3,5
2021,DIV,"Accomack County Public Schools",Male,216,23,10.6,81,92,4,0,16,16,96
2021,DIV,"Accomack County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Accomack County Public Schools","Students with Disabilities",50,6,12,2,36,4,0,2,2,40
2021,DIV,"Accomack County Public Schools",White,146,9,6.2,74,56,2,1,4,5,58
2021,DIV,"Albemarle County Public Schools","All Students",1087,42,3.9,701,307,17,2,18,20,324
2021,DIV,"Albemarle County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Albemarle County Public Schools",Asian,48,0,0,41,6,1,0,0,0,7
2021,DIV,"Albemarle County Public Schools",Black,113,8,7.1,43,56,3,0,3,3,59
2021,DIV,"Albemarle County Public Schools","Economically Disadvantaged",261,18,6.9,82,144,7,0,10,10,151
2021,DIV,"Albemarle County Public Schools","English Learners",85,21,24.7,14,48,1,0,1,1,49
2021,DIV,"Albemarle County Public Schools",Female,536,9,1.7,372,142,6,1,6,7,148
2021,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Albemarle County Public Schools",Hispanic,148,21,14.2,54,69,1,0,3,3,70
2021,DIV,"Albemarle County Public Schools",Homeless,10,1,10,1,8,0,0,0,0,8
2021,DIV,"Albemarle County Public Schools",Male,551,33,6,329,165,11,1,12,13,176
2021,DIV,"Albemarle County Public Schools","Military Connected",26,0,0,20,6,0,0,0,0,6
2021,DIV,"Albemarle County Public Schools","Multiple Races",65,1,1.5,38,23,1,0,2,2,24
2021,DIV,"Albemarle County Public Schools","Students with Disabilities",144,7,4.9,37,79,17,1,3,4,96
2021,DIV,"Albemarle County Public Schools",White,711,12,1.7,524,152,11,2,10,12,163
2021,DIV,"Alexandria City Public Schools","All Students",993,87,8.8,401,411,15,14,65,79,426
2021,DIV,"Alexandria City Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alexandria City Public Schools",Asian,54,0,0,29,23,1,0,1,1,24
2021,DIV,"Alexandria City Public Schools",Black,250,6,2.4,82,128,7,6,21,27,135
2021,DIV,"Alexandria City Public Schools","Economically Disadvantaged",603,66,10.9,160,296,13,14,54,68,309
2021,DIV,"Alexandria City Public Schools","English Learners",238,50,21,37,124,8,3,15,19,132
2021,DIV,"Alexandria City Public Schools",Female,458,25,5.5,217,180,6,2,28,30,186
2021,DIV,"Alexandria City Public Schools",Hispanic,392,79,20.2,83,181,4,7,38,45,185
2021,DIV,"Alexandria City Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alexandria City Public Schools",Male,535,62,11.6,184,231,9,12,37,49,240
2021,DIV,"Alexandria City Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alexandria City Public Schools","Multiple Races",21,0,0,9,11,0,0,1,1,11
2021,DIV,"Alexandria City Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alexandria City Public Schools","Students with Disabilities",75,2,2.7,7,47,15,0,4,4,62
2021,DIV,"Alexandria City Public Schools",White,272,2,.7,197,65,3,1,4,5,68
2021,DIV,"Alleghany Highlands Public Schools","All Students",153,9,5.9,53,73,8,4,6,10,81
2021,DIV,"Alleghany Highlands Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Black,10,1,10,4,4,0,0,1,1,4
2021,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",54,4,7.4,7,32,3,3,5,8,35
2021,DIV,"Alleghany Highlands Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Female,70,4,5.7,34,24,4,2,2,4,28
2021,DIV,"Alleghany Highlands Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Male,83,5,6,19,49,4,2,4,6,53
2021,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",17,0,0,0,7,8,2,0,2,15
2021,DIV,"Alleghany Highlands Public Schools",White,136,7,5.1,47,66,8,3,5,8,74
2021,DIV,"Amelia County Public Schools","All Students",115,2,1.7,60,47,5,0,1,1,52
2021,DIV,"Amelia County Public Schools",Black,22,0,0,11,10,1,0,0,0,11
2021,DIV,"Amelia County Public Schools","Economically Disadvantaged",39,1,2.6,11,22,5,0,0,0,27
2021,DIV,"Amelia County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amelia County Public Schools",Female,58,0,0,39,18,1,0,0,0,19
2021,DIV,"Amelia County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amelia County Public Schools",Male,57,2,3.5,21,29,4,0,1,1,33
2021,DIV,"Amelia County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amelia County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amelia County Public Schools","Students with Disabilities",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amelia County Public Schools",White,82,2,2.4,45,31,4,0,0,0,35
2021,DIV,"Amherst County Public Schools","All Students",269,14,5.2,116,129,6,1,3,4,135
2021,DIV,"Amherst County Public Schools",Black,46,0,0,20,24,1,0,1,1,25
2021,DIV,"Amherst County Public Schools","Economically Disadvantaged",139,10,7.2,44,79,3,1,2,3,82
