"Dropout Rate"
4/3/2023

Year,Division,Indicator,Description,Dropouts,"Students in the Cohort","Cohort Dropout Rate"
2022,"Accomack County Public Schools","Arcadia High","Dropout Rate","Class of 2022",14,181,7.73
2022,"Accomack County Public Schools","Chincoteague High","Dropout Rate","Class of 2022",0,27,0
2022,"Accomack County Public Schools","Nandua High","Dropout Rate","Class of 2022",18,155,11.61
2022,"Accomack County Public Schools","Tangier Combined","Dropout Rate","Class of 2022",<,<,0
2022,"Albemarle County Public Schools","Albemarle High","Dropout Rate","Class of 2022",23,481,4.78
2022,"Albemarle County Public Schools","Community Lab School","Dropout Rate","Class of 2022",0,15,0
2022,"Albemarle County Public Schools","Monticello High","Dropout Rate","Class of 2022",17,295,5.76
2022,"Albemarle County Public Schools","Western Albemarle High","Dropout Rate","Class of 2022",2,296,.68
2022,"Alexandria City Public Schools","Alexandria City High School","Dropout Rate","Class of 2022",87,993,8.76
2022,"Alleghany Highlands Public Schools","Alleghany High","Dropout Rate","Class of 2022",9,153,5.88
2022,"Alleghany Highlands Public Schools","Covington High","Dropout Rate","Class of 2022",3,57,5.26
2022,"Amelia County Public Schools","Amelia County High","Dropout Rate","Class of 2022",2,115,1.74
2022,"Amherst County Public Schools","Amherst County High","Dropout Rate","Class of 2022",14,269,5.2
2022,"Appomattox County Public Schools","Appomattox County High","Dropout Rate","Class of 2022",9,192,4.69
2022,"Arlington County Public Schools","Arlington Community High","Dropout Rate","Class of 2022",5,35,14.29
2022,"Arlington County Public Schools","Wakefield High","Dropout Rate","Class of 2022",32,599,5.34
2022,"Arlington County Public Schools","Washington-Liberty High","Dropout Rate","Class of 2022",32,637,5.02
2022,"Arlington County Public Schools","Yorktown High","Dropout Rate","Class of 2022",15,597,2.51
2022,"Augusta County Public Schools","Buffalo Gap High","Dropout Rate","Class of 2022",10,110,9.09
2022,"Augusta County Public Schools","Fort Defiance High","Dropout Rate","Class of 2022",2,192,1.04
2022,"Augusta County Public Schools","Riverheads High","Dropout Rate","Class of 2022",2,115,1.74
2022,"Augusta County Public Schools","Stuarts Draft High","Dropout Rate","Class of 2022",1,185,.54
2022,"Augusta County Public Schools","Wilson Memorial High","Dropout Rate","Class of 2022",10,182,5.49
2022,"Bath County Public Schools","Bath County High","Dropout Rate","Class of 2022",1,37,2.7
2022,"Bedford County Public Schools","Jefferson Forest High","Dropout Rate","Class of 2022",6,330,1.82
2022,"Bedford County Public Schools","Liberty High","Dropout Rate","Class of 2022",9,180,5
2022,"Bedford County Public Schools","Staunton River High","Dropout Rate","Class of 2022",16,240,6.67
2022,"Bland County Public Schools","Bland County High","Dropout Rate","Class of 2022",0,52,0
2022,"Botetourt County Public Schools","James River High","Dropout Rate","Class of 2022",3,122,2.46
2022,"Botetourt County Public Schools","Lord Botetourt High","Dropout Rate","Class of 2022",7,275,2.55
2022,"Bristol City Public Schools","Virginia High","Dropout Rate","Class of 2022",14,167,8.38
2022,"Brunswick County Public Schools","Brunswick High","Dropout Rate","Class of 2022",7,121,5.79
2022,"Buchanan County Public Schools","Council High ","Dropout Rate","Class of 2022",1,22,4.55
2022,"Buchanan County Public Schools","Grundy High","Dropout Rate","Class of 2022",4,94,4.26
2022,"Buchanan County Public Schools","Hurley High","Dropout Rate","Class of 2022",3,52,5.77
2022,"Buchanan County Public Schools","Twin Valley High","Dropout Rate","Class of 2022",3,37,8.11
2022,"Buckingham County Public Schools","Buckingham County High","Dropout Rate","Class of 2022",6,136,4.41
2022,"Buena Vista City Public Schools","Parry McCluer High","Dropout Rate","Class of 2022",6,77,7.79
2022,"Campbell County Public Schools","Altavista High","Dropout Rate","Class of 2022",13,115,11.3
2022,"Campbell County Public Schools","Brookville High","Dropout Rate","Class of 2022",9,281,3.2
2022,"Campbell County Public Schools","Rustburg High","Dropout Rate","Class of 2022",1,197,.51
2022,"Campbell County Public Schools","William Campbell High","Dropout Rate","Class of 2022",3,55,5.45
2022,"Caroline County Public Schools","Caroline High","Dropout Rate","Class of 2022",15,290,5.17
2022,"Carroll County Public Schools","Carroll County High","Dropout Rate","Class of 2022",12,253,4.74
2022,"Charles City County Public Schools","Charles City County High","Dropout Rate","Class of 2022",2,33,6.06
2022,"Charlotte County Public Schools","Randolph-Henry High","Dropout Rate","Class of 2022",8,162,4.94
2022,"Charlottesville City Public Schools","Charlottesville High","Dropout Rate","Class of 2022",12,298,4.03
2022,"Chesapeake City Public Schools","Deep Creek High","Dropout Rate","Class of 2022",25,422,5.92
2022,"Chesapeake City Public Schools","Grassfield High","Dropout Rate","Class of 2022",5,573,.87
2022,"Chesapeake City Public Schools","Great Bridge High","Dropout Rate","Class of 2022",9,352,2.56
2022,"Chesapeake City Public Schools","Hickory High","Dropout Rate","Class of 2022",4,432,.93
2022,"Chesapeake City Public Schools","Indian River High","Dropout Rate","Class of 2022",16,411,3.89
2022,"Chesapeake City Public Schools","Oscar F. Smith High","Dropout Rate","Class of 2022",18,549,3.28
2022,"Chesapeake City Public Schools","Western Branch High","Dropout Rate","Class of 2022",15,548,2.74
2022,"Chesterfield County Public Schools","Carver College and Career Academy","Dropout Rate","Class of 2022",54,156,34.62
2022,"Chesterfield County Public Schools","Clover Hill High","Dropout Rate","Class of 2022",19,464,4.09
2022,"Chesterfield County Public Schools","Cosby High","Dropout Rate","Class of 2022",4,568,.7
2022,"Chesterfield County Public Schools","James River High","Dropout Rate","Class of 2022",21,503,4.17
2022,"Chesterfield County Public Schools","Lloyd C. Bird High","Dropout Rate","Class of 2022",31,464,6.68
2022,"Chesterfield County Public Schools","Manchester High","Dropout Rate","Class of 2022",27,567,4.76
2022,"Chesterfield County Public Schools","Matoaca High","Dropout Rate","Class of 2022",24,405,5.93
2022,"Chesterfield County Public Schools","Meadowbrook High","Dropout Rate","Class of 2022",76,490,15.51
2022,"Chesterfield County Public Schools","Midlothian High","Dropout Rate","Class of 2022",5,468,1.07
2022,"Chesterfield County Public Schools","Monacan High","Dropout Rate","Class of 2022",12,398,3.02
