"On-time Graduation Rate"
4/3/2023

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2021,DIV,"Accomack County Public Schools","All Students",371,313,84.4,314,84.6
2021,DIV,"Accomack County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Accomack County Public Schools",Black,140,119,85,119,85
2021,DIV,"Accomack County Public Schools","Economically Disadvantaged",189,163,86.2,164,86.8
2021,DIV,"Accomack County Public Schools","English Learners",47,28,59.6,28,59.6
2021,DIV,"Accomack County Public Schools",Female,155,136,87.7,137,88.4
2021,DIV,"Accomack County Public Schools","Foster Care",<,<,100,<,100
2021,DIV,"Accomack County Public Schools",Hispanic,78,55,70.5,55,70.5
2021,DIV,"Accomack County Public Schools",Homeless,12,7,58.3,7,58.3
2021,DIV,"Accomack County Public Schools",Male,216,177,81.9,177,81.9
2021,DIV,"Accomack County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Accomack County Public Schools","Students with Disabilities",50,42,84,42,84
2021,DIV,"Accomack County Public Schools",White,146,132,90.4,133,91.1
2021,DIV,"Albemarle County Public Schools","All Students",1087,1025,94.3,1027,94.5
2021,DIV,"Albemarle County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Albemarle County Public Schools",Asian,48,48,100,48,100
2021,DIV,"Albemarle County Public Schools",Black,113,102,90.3,102,90.3
2021,DIV,"Albemarle County Public Schools","Economically Disadvantaged",261,233,89.3,233,89.3
2021,DIV,"Albemarle County Public Schools","English Learners",85,63,74.1,63,74.1
2021,DIV,"Albemarle County Public Schools",Female,536,520,97,521,97.2
2021,DIV,"Albemarle County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Albemarle County Public Schools",Hispanic,148,124,83.8,124,83.8
2021,DIV,"Albemarle County Public Schools",Homeless,10,9,90,9,90
2021,DIV,"Albemarle County Public Schools",Male,551,505,91.7,506,91.8
2021,DIV,"Albemarle County Public Schools","Military Connected",26,26,100,26,100
2021,DIV,"Albemarle County Public Schools","Multiple Races",65,62,95.4,62,95.4
2021,DIV,"Albemarle County Public Schools","Students with Disabilities",144,133,92.4,134,93.1
2021,DIV,"Albemarle County Public Schools",White,711,687,96.6,689,96.9
2021,DIV,"Alexandria City Public Schools","All Students",993,827,83.3,843,84.9
2021,DIV,"Alexandria City Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Alexandria City Public Schools",Asian,54,53,98.1,53,98.1
2021,DIV,"Alexandria City Public Schools",Black,250,217,86.8,223,89.2
2021,DIV,"Alexandria City Public Schools","Economically Disadvantaged",603,469,77.8,484,80.3
2021,DIV,"Alexandria City Public Schools","English Learners",238,169,71,174,73.1
2021,DIV,"Alexandria City Public Schools",Female,458,403,88,406,88.6
2021,DIV,"Alexandria City Public Schools",Hispanic,392,268,68.4,277,70.7
2021,DIV,"Alexandria City Public Schools",Homeless,<,<,<,<,<
2021,DIV,"Alexandria City Public Schools",Male,535,424,79.3,437,81.7
2021,DIV,"Alexandria City Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Alexandria City Public Schools","Multiple Races",21,20,95.2,20,95.2
2021,DIV,"Alexandria City Public Schools","Native Hawaiian",<,<,100,<,100
2021,DIV,"Alexandria City Public Schools","Students with Disabilities",75,69,92,69,92
2021,DIV,"Alexandria City Public Schools",White,272,265,97.4,266,97.8
2021,DIV,"Alleghany Highlands Public Schools","All Students",153,134,87.6,138,90.2
2021,DIV,"Alleghany Highlands Public Schools",Asian,<,<,100,<,100
2021,DIV,"Alleghany Highlands Public Schools",Black,10,8,80,8,80
2021,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",54,42,77.8,45,83.3
