"Per Pupil Spending"
4/3/2023

Year,"Level Code",Division,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2020 - 2021",DIV,"Accomack County Public Schools",4826.05,803,7040,7844,631,2643,3274,11118,5299714,53655626,1434,9683
"2020 - 2021",DIV,"Albemarle County Public Schools",13474.52,402,9830,10232,190,3425,3615,13847,65416568,186578855,592,13255
"2020 - 2021",DIV,"Alexandria City Public Schools",15716.88,313,13151,13464,606,4707,5313,18777,28686603,295110619,919,17858
"2020 - 2021",DIV,"Alleghany Highlands Public Schools",1883.34,785,7223,8008,224,4324,4548,12556,2997842,23646819,1009,11547
"2020 - 2021",DIV,"Amelia County Public Schools",1613.78,510,7121,7631,230,4211,4441,12072,2065456,19481948,740,11332
"2020 - 2021",DIV,"Amherst County Public Schools",4033.09,486,7748,8234,186,2612,2798,11032,5245236,44492673,672,10360
"2020 - 2021",DIV,"Appomattox County Public Schools",2262.28,584,6748,7332,292,3018,3310,10641,2401662,24073918,876,9766
"2020 - 2021",DIV,"Arlington County Public Schools",26678.08,106,12575,12680,757,6390,7147,19827,164442225,528952716,863,18965
"2020 - 2021",DIV,"Augusta County Public Schools",10039.86,772,7021,7793,634,2954,3587,11381,24245102,114258738,1406,9975
"2020 - 2021",DIV,"Bath County Public Schools",519.54,599,11695,12294,571,5259,5829,18124,1102201,9416068,1170,16954
"2020 - 2021",DIV,"Bedford County Public Schools",9164.24,568,7601,8169,87,2981,3068,11237,12646588,102981666,655,10582
"2020 - 2021",DIV,"Bland County Public Schools",669.16,321,7526,7847,505,4545,5050,12897,843909,8630265,826,12071
"2020 - 2021",DIV,"Botetourt County Public Schools",4399.95,396,9111,9507,187,2781,2968,12475,4045355,54888561,583,11892
"2020 - 2021",DIV,"Bristol City Public Schools",2212.87,2138,7788,9926,227,2516,2743,12669,5097289,28034972,2365,10304
"2020 - 2021",DIV,"Brunswick County Public Schools",1451.22,1180,8049,9229,913,4451,5364,14593,1900832,21177318,2093,12500
"2020 - 2021",DIV,"Buchanan County Public Schools",2507.16,1153,6422,7575,911,4332,5243,12818,3542179,32136244,2064,10754
"2020 - 2021",DIV,"Buckingham County Public Schools",1965.78,1135,8235,9370,194,2651,2845,12214,2950962,24011020,1329,10886
"2020 - 2021",DIV,"Buena Vista City Public Schools",900.37,688,7018,7707,354,3446,3800,11507,1639409,10360343,1042,10464
"2020 - 2021",DIV,"Campbell County Public Schools",7704.96,553,6850,7403,342,3337,3679,11082,6660576,85389728,895,10187
"2020 - 2021",DIV,"Caroline County Public Schools",4133.39,412,6855,7267,588,3191,3779,11045,3311666,45654009,1000,10046
"2020 - 2021",DIV,"Carroll County Public Schools",3517.21,534,7407,7941,94,3513,3607,11548,9673253,40616166,628,10920
"2020 - 2021",DIV,"Charles City County Public Schools",551.85,960,9404,10363,697,7144,7842,18205,1116457,10046479,1657,16548
"2020 - 2021",DIV,"Charlotte County Public Schools",1714.61,711,6872,7583,562,3669,4231,11814,9571441,20256862,1273,10541
"2020 - 2021",DIV,"Charlottesville City Public Schools",4181.92,543,12115,12658,471,5365,5836,18494,7687089,77340610,1014,17480
"2020 - 2021",DIV,"Chesapeake City Public Schools",39690.99,522,9717,10239,380,1680,2060,12299,69171202,488157873,902,11397
"2020 - 2021",DIV,"Chesterfield County Public Schools",60093.66,253,6596,6849,416,3576,3992,10841,213998744,651452850,669,10172
"2020 - 2021",DIV,"Clarke County Public Schools",1741.94,304,8544,8848,276,3659,3935,12783,4228392,22266481,580,12203
"2020 - 2021",DIV,"Colonial Beach Public Schools",628.9,892,7171,8063,0,3052,3052,11115,1318364,6990188,892,10223
"2020 - 2021",DIV,"Colonial Heights City Public Schools",2714.82,651,9967,10618,293,3133,3426,14044,3880152,38127389,944,13100
"2020 - 2021",DIV,"Craig County Public Schools",533.38,920,8239,9159,260,3219,3479,12638,761285,6740631,1180,11458
"2020 - 2021",DIV,"Culpeper County Public Schools",8213.01,418,7866,8284,379,1832,2211,10495,21687006,86198058,797,9698
"2020 - 2021",DIV,"Cumberland County Public Schools",1219.77,1528,8411,9939,204,3063,3267,13206,1691678,16108229,1732,11474
"2020 - 2021",DIV,"Danville City Public Schools",5470.02,486,8941,9427,916,4007,4923,14350,8608554,78493517,1402,12948
"2020 - 2021",DIV,"Dickenson County Public Schools",1983.84,630,7924,8555,723,3030,3752,12307,2839967,24414809,1353,10954
"2020 - 2021",DIV,"Dinwiddie County Public Schools",4181.25,490,8418,8908,414,2456,2870,11778,8307915,49247880,904,10874
"2020 - 2021",DIV,"Essex County Public Schools",1228.83,558,6795,7353,1002,5049,6051,13404,1499831,16471485,1560,11844
"2020 - 2021",DIV,"Fairfax County Public Schools",178986.19,282,10421,10703,428,5622,6051,16754,322529543,2998670134,710,16043
"2020 - 2021",DIV,"Falls Church City Public Schools",2476.17,163,13176,13340,280,6132,6411,19751,3942821,48906424,443,19308
"2020 - 2021",DIV,"Fauquier County Public Schools",10279.65,96,9274,9370,618,4037,4656,14026,17354590,144179567,714,13311
"2020 - 2021",DIV,"Floyd County Public Schools",1827.29,685,7424,8109,97,3555,3652,11761,2817071,21491577,782,10979
"2020 - 2021",DIV,"Fluvanna County Public Schools",3252.82,240,7636,7876,242,3790,4032,11909,5065903,38737626,482,11426
"2020 - 2021",DIV,"Franklin City Public Schools",1022.21,1434,7303,8737,613,4942,5555,14292,2670357,14609693,2047,12245
"2020 - 2021",DIV,"Franklin County Public Schools",6420.5,737,8584,9321,164,2970,3134,12455,14509169,79969607,901,11554
"2020 - 2021",DIV,"Frederick County Public Schools",13238.99,369,8370,8739,226,4197,4424,13163,66322735,174261840,595,12567
"2020 - 2021",DIV,"Fredericksburg City Public Schools",3538.24,622,8590,9212,417,3897,4314,13525,5836638,47855123,1039,12487
