"Percentage of Expenditures"
4/3/2023

Year,Division,Level,Percent
"2020 - 2021","Accomack County Public Schools",DIV,67.1
"2020 - 2021","Albemarle County Public Schools",DIV,66.5
"2020 - 2021","Alexandria City Public Schools",DIV,60.3
"2020 - 2021","Alleghany Highlands Public Schools",DIV,64.3
"2020 - 2021","Amelia County Public Schools",DIV,59.5
"2020 - 2021","Amherst County Public Schools",DIV,67.3
"2020 - 2021","Appomattox County Public Schools",DIV,67.1
"2020 - 2021","Arlington County Public Schools",DIV,62.2
"2020 - 2021","Augusta County Public Schools",DIV,69.7
"2020 - 2021","Bath County Public Schools",DIV,56
"2020 - 2021","Bedford County Public Schools",DIV,67.4
"2020 - 2021","Bland County Public Schools",DIV,54.9
"2020 - 2021","Botetourt County Public Schools",DIV,68.4
"2020 - 2021","Bristol City Public Schools",DIV,63.4
"2020 - 2021","Brunswick County Public Schools",DIV,58.1
"2020 - 2021","Buchanan County Public Schools",DIV,62.1
"2020 - 2021","Buckingham County Public Schools",DIV,58.1
"2020 - 2021","Buena Vista City Public Schools",DIV,63.6
"2020 - 2021","Campbell County Public Schools",DIV,64.1
"2020 - 2021","Caroline County Public Schools",DIV,62.1
"2020 - 2021","Carroll County Public Schools",DIV,65.8
"2020 - 2021","Charles City County Public Schools",DIV,52.8
"2020 - 2021","Charlotte County Public Schools",DIV,61
"2020 - 2021","Charlottesville City Public Schools",DIV,72.5
"2020 - 2021","Chesapeake City Public Schools",DIV,69.1
"2020 - 2021","Chesterfield County Public Schools",DIV,69.6
"2020 - 2021","Clarke County Public Schools",DIV,64.5
"2020 - 2021","Colonial Beach Public Schools",DIV,60.9
"2020 - 2021","Colonial Heights City Public Schools",DIV,69
"2020 - 2021","Craig County Public Schools",DIV,64.4
"2020 - 2021","Culpeper County Public Schools",DIV,70
"2020 - 2021","Cumberland County Public Schools",DIV,60.9
"2020 - 2021","Danville City Public Schools",DIV,57
"2020 - 2021","Dickenson County Public Schools",DIV,60.6
"2020 - 2021","Dinwiddie County Public Schools",DIV,63.4
"2020 - 2021","Essex County Public Schools",DIV,65.6
"2020 - 2021","Fairfax County Public Schools",DIV,71
"2020 - 2021","Falls Church City Public Schools",DIV,65.5
"2020 - 2021","Fauquier County Public Schools",DIV,68.9
"2020 - 2021","Floyd County Public Schools",DIV,63.6
"2020 - 2021","Fluvanna County Public Schools",DIV,63.8
"2020 - 2021","Franklin City Public Schools",DIV,53.7
"2020 - 2021","Franklin County Public Schools",DIV,65.2
"2020 - 2021","Frederick County Public Schools",DIV,66.8
"2020 - 2021","Fredericksburg City Public Schools",DIV,64
"2020 - 2021","Galax City Public Schools",DIV,65.3
"2020 - 2021","Giles County Public Schools",DIV,65.7
"2020 - 2021","Gloucester County Public Schools",DIV,64.7
"2020 - 2021","Goochland County Public Schools",DIV,65.4
"2020 - 2021","Grayson County Public Schools",DIV,59.6
"2020 - 2021","Greene County Public Schools",DIV,67.7
