"Postsecondary Enrollment"
4/3/2023

Year,Level,Division,Subgroup,"Students earning a federally recognized high school diploma","Students enrolled in higher education within 16 months of graduation",Percent
2018,DIV,"Accomack County Public Schools","All Students",352,191,54
2018,DIV,"Accomack County Public Schools","American Indian",<,<,<
2018,DIV,"Accomack County Public Schools",Asian,<,<,<
2018,DIV,"Accomack County Public Schools",Black,111,62,56
2018,DIV,"Accomack County Public Schools","Economically Disadvantaged",190,94,49
2018,DIV,"Accomack County Public Schools","English Learners",33,16,48
2018,DIV,"Accomack County Public Schools",Female,182,113,62
2018,DIV,"Accomack County Public Schools",Hispanic,66,29,44
2018,DIV,"Accomack County Public Schools",Male,170,78,46
2018,DIV,"Accomack County Public Schools","Multiple Races",<,<,<
2018,DIV,"Accomack County Public Schools","Students with Disabilities",32,11,34
2018,DIV,"Accomack County Public Schools",White,171,98,57
2018,DIV,"Albemarle County Public Schools","All Students",991,775,78
2018,DIV,"Albemarle County Public Schools",Asian,49,46,94
2018,DIV,"Albemarle County Public Schools",Black,100,63,63
2018,DIV,"Albemarle County Public Schools","Economically Disadvantaged",215,128,60
2018,DIV,"Albemarle County Public Schools","English Learners",60,30,50
2018,DIV,"Albemarle County Public Schools",Female,488,416,85
2018,DIV,"Albemarle County Public Schools",Hispanic,94,54,57
2018,DIV,"Albemarle County Public Schools",Male,503,359,71
2018,DIV,"Albemarle County Public Schools","Multiple Races",44,36,82
2018,DIV,"Albemarle County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Albemarle County Public Schools","Students with Disabilities",89,52,58
2018,DIV,"Albemarle County Public Schools",White,702,575,82
2018,DIV,"Alexandria City Public Schools","All Students",738,526,71
2018,DIV,"Alexandria City Public Schools","American Indian",<,<,<
2018,DIV,"Alexandria City Public Schools",Asian,41,35,85
2018,DIV,"Alexandria City Public Schools",Black,228,180,79
2018,DIV,"Alexandria City Public Schools","Economically Disadvantaged",427,266,62
2018,DIV,"Alexandria City Public Schools","English Learners",184,90,49
2018,DIV,"Alexandria City Public Schools",Female,384,280,73
2018,DIV,"Alexandria City Public Schools",Hispanic,239,118,49
2018,DIV,"Alexandria City Public Schools",Male,354,246,69
2018,DIV,"Alexandria City Public Schools","Multiple Races",18,14,78
2018,DIV,"Alexandria City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Alexandria City Public Schools","Students with Disabilities",50,27,54
2018,DIV,"Alexandria City Public Schools",White,207,178,86
2018,DIV,"Alleghany Highlands Public Schools","All Students",166,97,58
2018,DIV,"Alleghany Highlands Public Schools",Black,11,<,<
2018,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",59,30,51
2018,DIV,"Alleghany Highlands Public Schools",Female,83,56,67
2018,DIV,"Alleghany Highlands Public Schools",Hispanic,<,<,<
2018,DIV,"Alleghany Highlands Public Schools",Male,83,41,49
2018,DIV,"Alleghany Highlands Public Schools","Multiple Races",<,<,<
