"Sources of Financial Support"
4/3/2023

Year,Division,Level,"End of Year ADM","Local Amount","State Amount","Federal Amount",Total,"Local Percent","State Percent","Federal Percent"
"2020 - 2021","Accomack County Public Schools",DIV,"4,825.13","2,470","7,799","1,939","12,208",20.2,63.9,15.9
"2020 - 2021","Albemarle County Public Schools",DIV,"13,474.52","9,731","4,297",989,"15,017",64.8,28.6,6.6
"2020 - 2021","Alexandria City Public Schools",DIV,"15,719.34","14,568","3,508","1,666","19,742",73.8,17.8,8.4
"2020 - 2021","Alleghany Highlands Public Schools",DIV,"1,883.34","4,273","8,149","1,358","13,780",31,59.1,9.9
"2020 - 2021","Amelia County Public Schools",DIV,"1,617.78","4,671","7,333","1,342","13,346",35,54.9,10.1
"2020 - 2021","Amherst County Public Schools",DIV,"4,037.79","3,124","7,693","1,311","12,128",25.8,63.4,10.8
"2020 - 2021","Appomattox County Public Schools",DIV,"2,262.29","2,642","7,642","1,299","11,583",22.8,66,11.2
"2020 - 2021","Arlington County Public Schools",DIV,"26,745.08","16,919","3,117","1,494","21,530",78.6,14.5,6.9
"2020 - 2021","Augusta County Public Schools",DIV,"10,039.87","4,668","6,245","1,932","12,845",36.3,48.6,15
"2020 - 2021","Bath County Public Schools",DIV,521.15,"14,169","3,800","2,223","20,192",70.2,18.8,11
"2020 - 2021","Bedford County Public Schools",DIV,"9,164.97","3,953","6,967","1,052","11,972",33,58.2,8.8
"2020 - 2021","Bland County Public Schools",DIV,669.16,"5,263","7,454","1,410","14,127",37.3,52.8,10
"2020 - 2021","Botetourt County Public Schools",DIV,"4,398.95","5,768","6,344","1,081","13,193",43.7,48.1,8.2
"2020 - 2021","Bristol City Public Schools",DIV,"2,211.87","3,284","7,558","3,131","13,973",23.5,54.1,22.4
"2020 - 2021","Brunswick County Public Schools",DIV,"1,451.21","5,404","7,971","2,437","15,812",34.2,50.4,15.4
"2020 - 2021","Buchanan County Public Schools",DIV,"2,505.85","3,411","8,062","2,382","13,855",24.6,58.2,17.2
"2020 - 2021","Buckingham County Public Schools",DIV,"1,965.78","3,408","8,047","2,092","13,547",25.2,59.4,15.4
"2020 - 2021","Buena Vista City Public Schools",DIV,900.37,"1,288","9,042","1,915","12,245",10.5,73.8,15.6
"2020 - 2021","Campbell County Public Schools",DIV,"7,710.15","3,218","6,930","1,473","11,621",27.7,59.6,12.7
"2020 - 2021","Caroline County Public Schools",DIV,"4,133.39","3,921","6,894","1,045","11,860",33.1,58.1,8.8
"2020 - 2021","Carroll County Public Schools",DIV,"3,516.92","2,812","8,081","2,099","12,992",21.6,62.2,16.2
"2020 - 2021","Charles City County Public Schools",DIV,562.85,"11,549","6,763","1,573","19,885",58.1,34,7.9
"2020 - 2021","Charlotte County Public Schools",DIV,"1,714.62","3,046","7,879","1,637","12,562",24.2,62.7,13
"2020 - 2021","Charlottesville City Public Schools",DIV,"4,182.22","13,949","4,372","1,361","19,682",70.9,22.2,6.9
"2020 - 2021","Chesapeake City Public Schools",DIV,"39,779.25","4,796","6,967","1,231","12,994",36.9,53.6,9.5
"2020 - 2021","Chesterfield County Public Schools",DIV,"60,540.86","3,958","6,518",761,"11,237",35.2,58,6.8
"2020 - 2021","Clarke County Public Schools",DIV,"1,741.95","7,086","5,304","1,118","13,508",52.5,39.3,8.3
"2020 - 2021","Colonial Beach Public Schools",DIV,629.21,"1,535","8,238","2,500","12,273",12.5,67.1,20.4
"2020 - 2021","Colonial Heights City Public Schools",DIV,"2,732.81","6,927","6,606","1,269","14,802",46.8,44.6,8.6
"2020 - 2021","Craig County Public Schools",DIV,533.38,"2,991","8,807","1,698","13,496",22.2,65.3,12.6
"2020 - 2021","Culpeper County Public Schools",DIV,"8,212.75","3,414","6,703",864,"10,981",31.1,61,7.9
"2020 - 2021","Cumberland County Public Schools",DIV,"1,227.76","2,809","8,953","2,324","14,086",19.9,63.6,16.5
